Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Elapsed Time.1,Moving Time,Distance.1,Elevation Gain,Average Watts,Max Watts,Weighted Average Power,Average Heart Rate,Max Heart Rate,Average Cadence,Calories,Relative Effort
1000000,"Jan 02, 2024, 12:00:00 AM",Recovery Spin,Virtual Ride,7555,45406.8,7555,7195,45406.8,615.3,140.1,439.0,151.3,126.7,174.6,86.7,987.5,133.3
1000001,"Jan 03, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,8708,57569.4,8708,8294,57569.4,238.3,131.3,466.5,141.8,133.7,167.4,79.5,1252.0,104.0
1000002,"Jan 04, 2024, 12:00:00 AM",Hill Repeats,Ride,1979,12130.1,1979,1885,12130.1,185.7,131.8,396.7,142.3,134.9,166.1,80.8,263.8,145.6
1000003,"Jan 05, 2024, 12:00:00 AM",River Trail Ride,Ride,1399,8749.7,1399,1333,8749.7,43.9,194.3,586.0,209.8,144.7,173.0,81.9,190.3,47.3
1000004,"Jan 06, 2024, 12:00:00 AM",Long Sunday Ride,Virtual Ride,15549,101271.7,15549,14809,101271.7,551.2,131.2,385.6,141.7,151.4,174.3,81.2,2202.5,90.4
1000005,"Jan 09, 2024, 12:00:00 AM",Gravel Grind,Ride,6186,35156.6,6186,5891,35156.6,441.4,122.3,462.5,132.0,137.2,175.1,77.4,764.6,103.2
1000006,"Jan 11, 2024, 12:00:00 AM",Zwift Watopia,Ride,8163,59677.8,8163,7774,59677.8,354.7,147.9,429.1,159.8,150.6,163.9,75.5,1297.9,63.4
1000007,"Jan 15, 2024, 12:00:00 AM",Recovery Spin,Ride,4683,27553.1,4683,4460,27553.1,243.0,165.0,492.8,178.2,126.4,173.1,88.5,599.2,136.6
1000008,"Jan 17, 2024, 12:00:00 AM",River Trail Ride,Ride,7517,54487.3,7517,7159,54487.3,496.2,139.9,547.6,151.1,132.5,159.9,91.6,1185.0,30.2
1000009,"Jan 19, 2024, 12:00:00 AM",Commute,Virtual Ride,2922,18636.2,2922,2783,18636.2,296.5,120.3,325.8,129.9,150.0,174.4,78.8,405.3,134.1
1000010,"Jan 21, 2024, 12:00:00 AM",Zwift Watopia,Ride,5277,34022.4,5277,5026,34022.4,392.1,174.2,696.3,188.2,144.1,199.0,79.5,739.9,88.4
1000011,"Jan 22, 2024, 12:00:00 AM",Hill Repeats,Ride,17462,98401.5,17462,16630,98401.5,515.8,116.0,363.6,125.3,152.5,179.2,85.1,2140.0,59.9
1000012,"Jan 23, 2024, 12:00:00 AM",Recovery Spin,Ride,9191,70364.8,9191,8753,70364.8,760.1,134.1,337.6,144.9,137.5,168.6,88.0,1530.3,159.4
1000013,"Jan 26, 2024, 12:00:00 AM",Long Sunday Ride,Virtual Ride,8903,61428.1,8903,8479,61428.1,323.5,172.2,431.2,185.9,142.1,169.5,89.0,1335.9,37.6
1000014,"Jan 31, 2024, 12:00:00 AM",Recovery Spin,Ride,16468,113067.8,16468,15683,113067.8,1690.0,170.6,465.6,184.2,136.5,150.8,87.1,2459.0,55.5
