Date,WorkoutName,WorkoutType,DurationMinutes,TSS,IF,AveragePower,NormalizedPower,AverageHeartRate,AverageCadence,FTP
2024-01-02,Warlow,Sweet Spot,77.8,64.0,0.7,147.5,154.9,136.6,82.5,210
2024-01-03,Warlow,Sweet Spot,43.1,59.8,0.91,191.6,201.1,151.8,83.8,210
2024-01-05,Baxter,VO2,30.0,41.6,0.91,191.4,200.9,136.1,90.7,210
2024-01-20,Antelope,Threshold,75.0,60.5,0.7,147.5,154.8,157.3,77.6,212
2024-01-21,Mary Austin,VO2,35.6,37.6,0.8,168.7,177.2,139.2,83.3,212
2024-01-24,Petit,Endurance,44.3,62.8,0.92,196.5,206.3,138.3,76.8,213
2024-01-25,Antelope,Endurance,75.6,61.1,0.7,148.3,155.7,123.8,74.3,213
2024-01-26,Carter,Threshold,65.8,99.0,0.95,202.3,212.4,140.0,85.4,213
2024-01-27,Warlow,Threshold,79.7,65.3,0.7,149.4,156.8,158.9,88.7,213
2024-01-31,Warlow,Sweet Spot,66.9,95.0,0.92,196.6,206.5,123.7,90.5,213
2024-02-08,Warlow,Sweet Spot,33.0,24.0,0.66,141.3,148.4,184.3,77.6,214
2024-02-10,Warlow,Endurance,80.4,65.3,0.7,150.1,157.6,162.2,87.8,215
2024-02-15,Petit,Sweet Spot,44.2,32.6,0.66,143.0,150.1,140.8,85.2,215
2024-02-24,Mary Austin,VO2,66.5,59.8,0.73,158.6,166.5,148.3,85.9,216
2024-02-26,Warlow,VO2,78.1,76.7,0.77,165.8,174.1,133.7,85.3,216
2024-03-03,Petit,VO2,76.4,66.2,0.72,156.5,164.3,148.6,91.4,217
2024-03-06,Antelope,Threshold,85.7,83.9,0.77,166.3,174.6,163.5,88.5,217
2024-03-10,Mary Austin,Endurance,76.5,66.2,0.72,157.0,164.9,158.0,87.0,218
2024-03-19,Baxter,Sweet Spot,87.7,105.7,0.85,186.2,195.5,144.4,87.4,219
2024-03-21,Baxter,Threshold,66.7,81.0,0.85,186.9,196.3,147.1,92.3,219
2024-03-22,Petit,VO2,86.8,121.3,0.92,200.5,210.5,140.4,83.6,219
